t_start,t_end,Disk 1,Disk 2
1777111412,1777111548,34,36
1777111550,1777111721,34,35
1777111723,1777112578,33,35
1777112580,1777112580,33,34
1777112580,1777112665,33,34
1777112694,1777113044,32,34
1777114504,1777114696,32,33
1777114756,1777120100,31,33
1777122583,1777122999,32,34
1777192603,1777193036,32,33
1777196615,1777197658,31,32
1777197668,1777200830,31,33
1777200908,1777201192,32,33
1777202112,1777202137,33,34
1777203070,1777203785,33,35
1777203795,1777204355,33,34
1777204365,1777213742,32,34
1777364659,1777364678,32,33
1777364688,1777364698,32,34
1777388197,1777389427,32,33
1777389429,1777390878,31,33
1777390880,1777392267,32,33
1777392269,1777393988,32,34
1780560380,1780560427,32,33
